choose by best csf
#e,edge list,f,f_imp_r,csf_imp_r
3,"[[11, 14], [10, 13], [6, 11]]",0.3266314919971492,0.07499555296565107,1.0203347621368934
choose by best csf_ct
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
3,"[[11, 14], [10, 13], [6, 11]]",0.264059357651884,0.09144928316462035,1.035951861986744
choose by largest f_imp with csf > 1
#e,edge list,f,f_imp_r,csf_imp_r
3,"[[11, 14], [10, 13], [6, 11]]",0.3266314919971492,0.07499555296565107,1.0203347621368934
choose by largest f_ct_imp with csf_ct > 1
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
3,"[[11, 14], [10, 13], [6, 11]]",0.264059357651884,0.09144928316462035,1.035951861986744
