M,D,g1,g2,f,crosstalk,f_ct,#extra_e,extra_edge,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct
10,10,0,0,0.9048374180359596,30,0.777323198125885,0,[],0.14092500748571718,inf,0.0,0.0
10,10,0,0,0.9048374180359596,28,0.7852348336552654,1,"[[1, 4]]",0.13218129798423198,inf,0.0,0.010178051482903358
10,10,0,0,0.9048374180359596,24,0.8013004994031614,2,"[[8, 13], [5, 8]]",0.11442599142013325,inf,0.0,0.030845987016835857
10,10,0,0,0.9048374180359596,24,0.8013004994031614,3,"[[8, 13], [1, 6], [10, 13]]",0.11442599142013325,inf,0.0,0.030845987016835857
10,10,0,0,0.9048374180359596,26,0.793226994218378,4,"[[1, 4], [8, 13], [10, 13], [6, 9]]",0.12334859455728887,inf,0.0,0.020459695697795655
10,9,0,0,0.9139311852712282,24,0.8093537033067906,5,"[[2, 7], [8, 13], [2, 5], [7, 10], [5, 8]]",0.11442599142013309,inf,0.010050167084167994,0.041206161424399326
10,9,0,0,0.9139311852712282,24,0.8093537033067906,6,"[[9, 12], [2, 7], [10, 13], [2, 5], [7, 10], [5, 8]]",0.11442599142013309,inf,0.010050167084167994,0.041206161424399326
10,9,0,0,0.9139311852712282,26,0.8011990580459452,7,"[[2, 7], [8, 13], [11, 14], [2, 5], [5, 8], [6, 11], [5, 10]]",0.12334859455728871,inf,0.010050167084167994,0.03071548614221792
10,11,0,0,0.8958341352965282,20,0.8095586639463449,8,"[[2, 7], [8, 13], [11, 14], [2, 5], [9, 14], [5, 8], [6, 11], [5, 10]]",0.09630741668671226,inf,-0.009950166250832039,0.041469836354014813
10,9,0,0,0.9139311852712282,22,0.8175913469669256,8,"[[1, 4], [2, 7], [8, 13], [1, 6], [10, 13], [4, 9], [7, 10], [5, 10]]",0.10541257356888607,inf,0.010050167084167994,0.051803611339693065
