choose by best csf
#e,edge list,f,f_imp_r,csf_imp_r
3,"[[1, 6], [5, 8], [6, 9]]",0.4419930367487721,0.16470056708544203,1.105478504352279
choose by best csf_ct
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
3,"[[1, 6], [5, 8], [6, 9]]",0.3627904343400422,0.14714256490521577,1.0888132819439271
choose by largest f_imp with csf > 1
#e,edge list,f,f_imp_r,csf_imp_r
3,"[[1, 6], [5, 8], [6, 9]]",0.4419930367487721,0.16470056708544203,1.105478504352279
choose by largest f_ct_imp with csf_ct > 1
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
3,"[[1, 6], [5, 8], [6, 9]]",0.3627904343400422,0.14714256490521577,1.0888132819439271
