choose by best csf
#e,edge list,f,f_imp_r,csf_imp_r
3,"[[1, 6], [5, 8], [6, 9]]",0.44199303674877216,0.16470056708544217,1.1054785043522841
choose by best csf_ct
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
3,"[[1, 6], [5, 8], [6, 9]]",0.3627904343400423,0.1471425649052159,1.0888132819439336
choose by largest f_imp with csf > 1
#e,edge list,f,f_imp_r,csf_imp_r
3,"[[1, 6], [5, 8], [6, 9]]",0.44199303674877216,0.16470056708544217,1.1054785043522841
choose by largest f_ct_imp with csf_ct > 1
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
3,"[[1, 6], [5, 8], [6, 9]]",0.3627904343400423,0.1471425649052159,1.0888132819439336
