compiler,#e,M,#gates,gate_spec,coupling
sabre_basic,4,8,"[[(2, 7)], [(1, 2)], [(0, 1), (2, 3)], [(1, 2)], [(0, 1), (2, 7)], [(0, 4), (3, 7)], [(6, 7), (2, 3), (1, 4)], [(5, 6)], [(6, 7)], [(2, 6)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5)], [(5, 6)]]","[[' swap'], [' swap'], [' ZZ swap', ' swap'], [' ZZ swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ swap'], [' swap', ' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap'], [' ZZ'], [' ZZ']]","[[1, 4], [2, 7], [4, 9], [7, 10]]"
sabre_lookahead,4,8,"[[(2, 7), (5, 6)], [(1, 2)], [(0, 1), (2, 3)], [(1, 2)], [(0, 1)], [(1, 2)], [(0, 1)], [(1, 2)], [(1, 4), (2, 7)], [(3, 7), (0, 4)], [(2, 3)], [(2, 6)], [(1, 2), (6, 7)], [(1, 5)], [(4, 5)], [(5, 6)]]","[[' swap', ' swap'], [' swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[1, 4], [2, 7], [4, 9], [7, 10]]"
sabre_decay,4,8,"[[(2, 7), (5, 6)], [(1, 2)], [(0, 1), (2, 3)], [(1, 2)], [(0, 1), (2, 7)], [(0, 4), (3, 7)], [(2, 3), (1, 4)], [(2, 6)], [(1, 2), (6, 7)], [(1, 5)], [(4, 5)], [(5, 6)]]","[[' swap', ' swap'], [' swap'], [' ZZ swap', ' swap'], [' ZZ swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[1, 4], [2, 7], [4, 9], [7, 10]]"
sabre_basic,3,8,"[[(7, 10), (0, 4)], [(5, 10)], [(4, 5)], [(5, 6)], [(3, 6)], [(2, 6)], [(1, 2), (3, 6)], [(1, 5)], [(5, 10)], [(1, 5)], [(5, 6)], [(4, 5), (6, 10)], [(0, 4), (2, 6)], [(4, 5)], [(0, 4)], [(0, 1)], [(1, 5)], [(5, 6)]]","[[' swap', ' swap'], [' swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ', ' swap'], [' ZZ swap', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 6], [7, 10], [5, 10]]"
sabre_lookahead,3,8,"[[(2, 3), (7, 10)], [(1, 2), (5, 10)], [(4, 5), (2, 3), (6, 10)], [(0, 4)], [(0, 1)], [(1, 2), (0, 4)], [(2, 3), (4, 5)], [(3, 6), (0, 4)], [(3, 7), (4, 5), (2, 6)], [(7, 10)], [(5, 10)], [(6, 10)]]","[[' swap', ' swap'], [' swap', ' swap'], [' swap', ' swap', ' swap'], [' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[3, 6], [7, 10], [5, 10]]"
sabre_decay,3,8,"[[(2, 3), (7, 10)], [(1, 2), (5, 10)], [(4, 5), (2, 3), (6, 10)], [(0, 4)], [(0, 1)], [(1, 2), (0, 4)], [(2, 3), (4, 5)], [(3, 6), (0, 4)], [(3, 7), (4, 5), (2, 6)], [(7, 10)], [(5, 10)], [(6, 10)]]","[[' swap', ' swap'], [' swap', ' swap'], [' swap', ' swap', ' swap'], [' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[3, 6], [7, 10], [5, 10]]"
sabre_basic,2,8,"[[(6, 7)], [(2, 6)], [(1, 2)], [(0, 1)], [(1, 2)], [(2, 3)], [(2, 6)], [(1, 2)], [(2, 6)], [(1, 2)], [(1, 5)], [(1, 2), (5, 6)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4)], [(0, 1)], [(1, 5)], [(5, 6)], [(1, 5)], [(5, 6)]]","[[' swap'], [' swap'], [' swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[8, 13], [5, 8]]"
sabre_lookahead,2,8,"[[(0, 1), (4, 5), (3, 7)], [(1, 2), (5, 6)], [(2, 3)], [(3, 7)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4), (3, 7)], [(0, 1), (6, 7)], [(1, 5), (0, 4)], [(5, 6)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[8, 13], [5, 8]]"
sabre_decay,2,8,"[[(0, 1), (4, 5), (3, 7)], [(1, 2), (5, 6)], [(2, 3)], [(3, 7)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4), (3, 7)], [(0, 1), (6, 7)], [(1, 5), (0, 4)], [(5, 6)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[8, 13], [5, 8]]"
sabre_basic,1,8,"[[(6, 7)], [(2, 6)], [(1, 2)], [(0, 1)], [(1, 2)], [(2, 3)], [(2, 6)], [(1, 2)], [(2, 6)], [(1, 2)], [(1, 5)], [(1, 2), (5, 6)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4)], [(0, 1)], [(1, 5)], [(5, 6)], [(1, 5)], [(5, 6)]]","[[' swap'], [' swap'], [' swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[5, 8]]"
sabre_lookahead,1,8,"[[(0, 1), (4, 5), (3, 7)], [(1, 2), (5, 6)], [(2, 3)], [(3, 7)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4), (3, 7)], [(0, 1), (6, 7)], [(1, 5), (0, 4)], [(5, 6)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[5, 8]]"
sabre_decay,1,8,"[[(0, 1), (4, 5), (3, 7)], [(1, 2), (5, 6)], [(2, 3)], [(3, 7)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4), (3, 7)], [(0, 1), (6, 7)], [(1, 5), (0, 4)], [(5, 6)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[5, 8]]"
sabre_basic,0,8,"[[(6, 7)], [(2, 6)], [(1, 2)], [(0, 1)], [(1, 2)], [(2, 3)], [(2, 6)], [(1, 2)], [(2, 6)], [(1, 2)], [(1, 5)], [(1, 2), (5, 6)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4)], [(0, 1)], [(1, 5)], [(5, 6)], [(1, 5)], [(5, 6)]]","[[' swap'], [' swap'], [' swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]",[]
sabre_lookahead,0,8,"[[(0, 1), (4, 5), (3, 7)], [(1, 2), (5, 6)], [(2, 3)], [(3, 7)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4), (3, 7)], [(0, 1), (6, 7)], [(1, 5), (0, 4)], [(5, 6)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]",[]
sabre_decay,0,8,"[[(0, 1), (4, 5), (3, 7)], [(1, 2), (5, 6)], [(2, 3)], [(3, 7)], [(2, 3)], [(1, 2), (3, 7)], [(0, 1), (6, 7)], [(0, 4), (3, 7)], [(0, 1), (6, 7)], [(1, 5), (0, 4)], [(5, 6)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]",[]
