compiler,#e,M,#gates,gate_spec,coupling
sabre_basic,3,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(0, 4), (3, 7), (1, 2)], [(6, 7), (4, 5)], [(5, 6), (3, 7)], [(1, 5), (6, 7)], [(0, 1)], [(0, 4), (1, 2)], [(4, 5)], [(5, 6)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap'], [' swap'], [' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
sabre_lookahead,3,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(3, 7), (0, 4), (1, 2)], [(6, 7)], [(5, 6), (3, 7)], [(4, 5)], [(0, 4), (5, 6)], [(0, 1), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
sabre_decay,3,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(3, 7), (0, 4), (1, 2)], [(6, 7)], [(5, 6), (3, 7)], [(4, 5)], [(0, 4), (5, 6)], [(0, 1), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
sabre_basic,2,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(0, 4), (3, 7), (1, 2)], [(6, 7), (4, 5)], [(5, 6), (3, 7)], [(1, 5), (6, 7)], [(0, 1)], [(0, 4), (1, 2)], [(4, 5)], [(5, 6)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap'], [' swap'], [' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
sabre_lookahead,2,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(3, 7), (0, 4), (1, 2)], [(6, 7)], [(5, 6), (3, 7)], [(4, 5)], [(0, 4), (5, 6)], [(0, 1), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
sabre_decay,2,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(3, 7), (0, 4), (1, 2)], [(6, 7)], [(5, 6), (3, 7)], [(4, 5)], [(0, 4), (5, 6)], [(0, 1), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
sabre_basic,1,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(0, 4), (3, 7), (1, 2)], [(6, 7), (4, 5)], [(5, 6), (3, 7)], [(1, 5), (6, 7)], [(0, 1)], [(0, 4), (1, 2)], [(4, 5)], [(5, 6)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap'], [' swap'], [' ZZ'], [' ZZ']]","[[7, 10]]"
sabre_lookahead,1,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(3, 7), (0, 4), (1, 2)], [(6, 7)], [(5, 6), (3, 7)], [(4, 5)], [(0, 4), (5, 6)], [(0, 1), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[7, 10]]"
sabre_decay,1,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(3, 7), (0, 4), (1, 2)], [(6, 7)], [(5, 6), (3, 7)], [(4, 5)], [(0, 4), (5, 6)], [(0, 1), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ', ' swap'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[7, 10]]"
sabre_basic,0,8,"[[(0, 1)], [(1, 2), (0, 4)], [(0, 1), (2, 3)], [(0, 4), (3, 7), (1, 2)], [(6, 7), (4, 5)], [(5, 6), (3, 7)], [(1, 5), (6, 7)], [(0, 1)], [(0, 4), (1, 2)], [(4, 5)], [(5, 6)], [(6, 7)], [(2, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap'], [' swap'], [' ZZ'], [' ZZ']]",[]
