mode,#e,M,gates,gate_spec,coupling
transition,0,10,"[[(10, 14)], [(14, 15), (6, 10)], [(5, 6), (13, 14)], [(14, 15), (5, 9), (6, 10)], [(13, 14), (4, 5)], [(10, 14), (12, 13)], [(9, 10)], [(8, 9)], [(8, 12)], [(4, 8)], [(8, 12)]]","[[' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ swap'], [' ZZ']]",[]
normal,0,10,"[[(6, 10)], [(2, 6), (9, 10)], [(5, 6)], [(6, 7), (1, 5)], [(1, 2), (6, 10), (5, 9)], [(2, 6), (0, 1), (8, 9)], [(5, 6)], [(4, 5)], [(0, 4)], [(4, 8)], [(0, 4)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap ZZ'], [' ZZ']]",[]
transition,1,10,"[[(9, 13)], [(8, 9), (13, 14)], [(5, 9), (14, 15), (12, 13)], [(8, 9), (11, 15)], [(5, 9)], [(9, 13), (5, 6)], [(13, 14)], [(10, 14)], [(6, 10)], [(10, 11)], [(6, 11)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[6, 11]]"
normal,1,10,"[[(5, 6)], [(6, 7), (5, 9)], [(6, 11), (9, 10)], [(2, 6), (7, 11), (9, 13)], [(5, 6), (11, 15)], [(6, 7)], [(6, 10)], [(10, 14)], [(14, 15)], [(13, 14)], [(14, 15)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ swap'], [' ZZ']]","[[6, 11]]"
transition,2,10,"[[(4, 5)], [(5, 6), (4, 8)], [(6, 10), (5, 9)], [(1, 5), (6, 7)], [(4, 5), (2, 6)], [(5, 8)], [(8, 9), (5, 6)], [(9, 10)], [(10, 11)], [(6, 11)], [(7, 11)], [(6, 7)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[5, 8], [6, 11]]"
normal,2,10,"[[(5, 6)], [(6, 7), (5, 9)], [(6, 11), (9, 10)], [(2, 6), (7, 11), (9, 13)], [(5, 6), (11, 15)], [(6, 7)], [(6, 10)], [(10, 14)], [(14, 15)], [(13, 14)], [(14, 15)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap ZZ'], [' ZZ']]","[[5, 8], [6, 11]]"
transition,3,10,"[[(1, 2)], [(2, 3), (1, 5)], [(2, 7), (5, 9)], [(3, 7), (5, 6)], [(4, 5), (2, 3), (7, 11)], [(1, 5)], [(2, 5)], [(5, 9)], [(9, 10)], [(10, 11)], [(6, 10)], [(6, 11)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[2, 7], [2, 5], [6, 11]]"
normal,3,10,"[[(6, 11)], [(11, 15), (5, 6)], [(7, 11), (5, 9), (6, 10)], [(11, 15), (1, 5)], [(7, 11), (4, 5)], [(10, 11), (2, 7)], [(9, 10)], [(5, 9)], [(2, 5)], [(1, 5)], [(1, 2)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[2, 7], [2, 5], [6, 11]]"
transition,4,10,"[[(9, 10)], [(10, 14), (5, 9)], [(10, 11), (9, 13)], [(11, 14), (8, 9)], [(5, 9), (13, 14), (7, 11)], [(9, 13), (2, 5)], [(6, 9)], [(6, 7)], [(2, 6)], [(2, 7)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[2, 7], [11, 14], [2, 5], [6, 9]]"
normal,4,10,"[[(9, 10)], [(10, 14), (5, 9)], [(9, 13), (10, 11)], [(8, 9), (11, 14)], [(5, 9), (13, 14), (7, 11)], [(9, 13), (2, 5)], [(6, 9)], [(6, 7)], [(2, 6)], [(2, 7)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[2, 7], [11, 14], [2, 5], [6, 9]]"
