#e,compiler,fidelity no crosstalk,fidelity,g1,g2,D,avg idling time,idling time,qubit lifetime,avg two qubit gate fidelity,two qubit gate fidelity,gates,gate_spec
0,transition,0.5705148989989473,0.5347523713142751,48,37,690,498.0,"[515, 555, 495, 435, 555, 405, 565, 555, 360, 540]","[690, 690, 690, 690, 690, 690, 690, 690, 690, 690]",0.9892702702702703,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(10, 14), [10], [14], (10, 14), (14, 15), [14], [15], (14, 15), (6, 10), [6], [10], (6, 10), [6], [10], (6, 10), [6], [10], (5, 6), [5], [6], (5, 6), (13, 14), [13], [14], (13, 14), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (5, 9), [5], [9], (5, 9), (6, 10), [6], [10], (6, 10), (13, 14), [13], [14], (13, 14), (4, 5), [4], [5], (4, 5), (10, 14), [10], [14], (10, 14), (12, 13), [12], [13], (12, 13), (9, 10), [9], [10], (9, 10), (8, 9), [8], [9], (8, 9), (8, 12), [8], [12], (8, 12), [4], [8], (4, 8), [4], [8], (4, 8), [4], [8], (4, 8), [4], [8], (8, 12), [8], [12], (8, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']"
0,normal,0.5798685105146293,0.5062781959718596,48,37,645,453.0,"[520, 450, 510, 390, 360, 270, 540, 470, 510, 510]","[645, 645, 645, 645, 645, 645, 645, 645, 645, 645]",0.9873783783783784,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.9855, 0.9855, 0.9900000000000001, 0.9855, 0.9855, 0.9900000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(6, 10), [6], [10], (6, 10), (2, 6), [2], [6], (2, 6), (9, 10), [9], [10], (9, 10), (5, 6), [5], [6], (5, 6), (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (1, 5), [1], [5], (1, 5), [1], [5], (1, 5), [1], [5], (1, 2), [1], [2], (1, 2), (6, 10), [6], [10], (6, 10), (5, 9), [5], [9], (5, 9), (2, 6), [2], [6], (2, 6), (0, 1), [0], [1], (0, 1), (8, 9), [8], [9], (8, 9), (5, 6), [5], [6], (5, 6), (4, 5), [4], [5], (4, 5), (0, 4), [0], [4], (0, 4), [4], [8], (4, 8), [4], [8], (4, 8), [4], [8], (4, 8), [4], [8], (0, 4), [0], [4], (0, 4)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']"
1,transition,0.6014250239778367,0.5468396574861223,48,35,590,402.0,"[455, 465, 440, 260, 455, 465, 460, 280, 325, 415]","[590, 590, 590, 590, 590, 590, 590, 590, 590, 590]",0.9883142857142857,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(9, 13), [9], [13], (9, 13), (8, 9), [8], [9], (8, 9), (13, 14), [13], [14], (13, 14), (5, 9), [5], [9], (5, 9), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (8, 9), [8], [9], (8, 9), [8], [9], (8, 9), [8], [9], (11, 15), [11], [15], (11, 15), (5, 9), [5], [9], (5, 9), (9, 13), [9], [13], (9, 13), (5, 6), [5], [6], (5, 6), (13, 14), [13], [14], (13, 14), (10, 14), [10], [14], (10, 14), (6, 10), [6], [10], (6, 10), (10, 11), [10], [11], (10, 11), (6, 11), [6], [11], (6, 11)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
1,normal,0.5948677436187467,0.5575726730219605,42,34,645,474.0,"[540, 510, 270, 510, 510, 510, 510, 470, 390, 520]","[645, 645, 645, 645, 645, 645, 645, 645, 645, 645]",0.9891176470588237,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.9855, 0.9900000000000001, 0.9855, 0.9855, 0.9900000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(5, 6), [5], [6], (5, 6), (6, 7), [6], [7], (6, 7), (5, 9), [5], [9], (5, 9), (6, 11), [6], [11], (6, 11), (9, 10), [9], [10], (9, 10), (2, 6), [2], [6], (2, 6), [2], [6], (2, 6), [2], [6], (7, 11), [7], [11], (7, 11), (9, 13), [9], [13], (9, 13), (5, 6), [5], [6], (5, 6), (11, 15), [11], [15], (11, 15), (6, 7), [6], [7], (6, 7), (6, 10), [6], [10], (6, 10), (10, 14), [10], [14], (10, 14), (14, 15), [14], [15], (14, 15), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']"
2,transition,0.5871597052336177,0.5415124064430314,42,36,635,460.0,"[530, 530, 500, 260, 270, 510, 500, 500, 500, 500]","[635, 635, 635, 635, 635, 635, 635, 635, 635, 635]",0.9887777777777776,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 5), [4], [5], (4, 5), (5, 6), [5], [6], (5, 6), (4, 8), [4], [8], (4, 8), (6, 10), [6], [10], (6, 10), (5, 9), [5], [9], (5, 9), (1, 5), [1], [5], (1, 5), [1], [5], (1, 5), [1], [5], (6, 7), [6], [7], (6, 7), (4, 5), [4], [5], (4, 5), (2, 6), [2], [6], (2, 6), [2], [6], (2, 6), [2], [6], (5, 8), [5], [8], (5, 8), (8, 9), [8], [9], (8, 9), (5, 6), [5], [6], (5, 6), (9, 10), [9], [10], (9, 10), (10, 11), [10], [11], (10, 11), (6, 11), [6], [11], (6, 11), (7, 11), [7], [11], (7, 11), (6, 7), [6], [7], (6, 7)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
2,normal,0.5948677436187467,0.5575726730219605,42,34,645,474.0,"[540, 510, 270, 510, 510, 510, 510, 470, 390, 520]","[645, 645, 645, 645, 645, 645, 645, 645, 645, 645]",0.9891176470588237,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.9855, 0.9900000000000001, 0.9855, 0.9855, 0.9900000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(5, 6), [5], [6], (5, 6), (6, 7), [6], [7], (6, 7), (5, 9), [5], [9], (5, 9), (6, 11), [6], [11], (6, 11), (9, 10), [9], [10], (9, 10), (2, 6), [2], [6], (2, 6), [2], [6], (2, 6), [2], [6], (7, 11), [7], [11], (7, 11), (9, 13), [9], [13], (9, 13), (5, 6), [5], [6], (5, 6), (11, 15), [11], [15], (11, 15), (6, 7), [6], [7], (6, 7), (6, 10), [6], [10], (6, 10), (10, 14), [10], [14], (10, 14), (14, 15), [14], [15], (14, 15), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']"
3,transition,0.5967914799041735,0.5328326917996379,42,36,590,415.0,"[455, 305, 395, 485, 215, 465, 455, 455, 455, 465]","[590, 590, 590, 590, 590, 590, 590, 590, 590, 590]",0.9878888888888889,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(1, 2), [1], [2], (1, 2), (2, 3), [2], [3], (2, 3), (1, 5), [1], [5], (1, 5), (2, 7), [2], [7], (2, 7), (5, 9), [5], [9], (5, 9), (3, 7), [3], [7], (3, 7), (5, 6), [5], [6], (5, 6), (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (7, 11), [7], [11], (7, 11), (1, 5), [1], [5], (1, 5), (2, 5), [2], [5], (2, 5), (5, 9), [5], [9], (5, 9), (9, 10), [9], [10], (9, 10), (10, 11), [10], [11], (10, 11), (6, 10), [6], [10], (6, 10), (6, 11), [6], [11], (6, 11)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,normal,0.596786780293285,0.5481396041477588,42,36,590,415.0,"[465, 465, 485, 215, 455, 455, 455, 455, 260, 440]","[590, 590, 590, 590, 590, 590, 590, 590, 590, 590]",0.9886666666666666,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(6, 11), [6], [11], (6, 11), (11, 15), [11], [15], (11, 15), (5, 6), [5], [6], (5, 6), (7, 11), [7], [11], (7, 11), (5, 9), [5], [9], (5, 9), (6, 10), [6], [10], (6, 10), (11, 15), [11], [15], (11, 15), [11], [15], (11, 15), [11], [15], (1, 5), [1], [5], (1, 5), (7, 11), [7], [11], (7, 11), (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (10, 11), [10], [11], (10, 11), (2, 7), [2], [7], (2, 7), (9, 10), [9], [10], (9, 10), (5, 9), [5], [9], (5, 9), (2, 5), [2], [5], (2, 5), (1, 5), [1], [5], (1, 5), (1, 2), [1], [2], (1, 2)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,transition,0.6290248059863628,0.5789529101814628,36,33,515,361.0,"[390, 380, 380, 390, 410, 140, 380, 380, 380, 380]","[515, 515, 515, 515, 515, 515, 515, 515, 515, 515]",0.9885151515151516,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(9, 10), [9], [10], (9, 10), (10, 14), [10], [14], (10, 14), (5, 9), [5], [9], (5, 9), (10, 11), [10], [11], (10, 11), (9, 13), [9], [13], (9, 13), (11, 14), [11], [14], (11, 14), (8, 9), [8], [9], (8, 9), [8], [9], (8, 9), [8], [9], (5, 9), [5], [9], (5, 9), (13, 14), [13], [14], (13, 14), (7, 11), [7], [11], (7, 11), (9, 13), [9], [13], (9, 13), (2, 5), [2], [5], (2, 5), (6, 9), [6], [9], (6, 9), (6, 7), [6], [7], (6, 7), (2, 6), [2], [6], (2, 6), (2, 7), [2], [7], (2, 7)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,normal,0.6290248059863628,0.5789529101814628,36,33,515,361.0,"[390, 380, 380, 390, 410, 140, 380, 380, 380, 380]","[515, 515, 515, 515, 515, 515, 515, 515, 515, 515]",0.9885151515151516,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(9, 10), [9], [10], (9, 10), (10, 14), [10], [14], (10, 14), (5, 9), [5], [9], (5, 9), (9, 13), [9], [13], (9, 13), (10, 11), [10], [11], (10, 11), (8, 9), [8], [9], (8, 9), [8], [9], (8, 9), [8], [9], (11, 14), [11], [14], (11, 14), (5, 9), [5], [9], (5, 9), (13, 14), [13], [14], (13, 14), (7, 11), [7], [11], (7, 11), (9, 13), [9], [13], (9, 13), (2, 5), [2], [5], (2, 5), (6, 9), [6], [9], (6, 9), (6, 7), [6], [7], (6, 7), (2, 6), [2], [6], (2, 6), (2, 7), [2], [7], (2, 7)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
