compiler,#e,M,#gates,gate_spec,coupling
sabre_basic,0,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(2, 3), (4, 5)], [(1, 2)], [(0, 1)], [(0, 4)], [(0,)], [(6, 7)], [(5, 6)], [(5,)], [(6, 7), (8, 9)], [(5, 6)], [(9,)], [(8, 9)], [(5, 9)], [(5,)], [(1,)], [[(1, 2)]], [(3,)], [[(2, 3)]], [(4,)], [(4, 5)], [(5, 6)], [(7,)], [(6, 7)], [(3, 7)], [(3,)], [(9,)], [(9, 10)], [(6, 10)], [(6,)], [[(10, 11)]], [(2,)], [(7,)], [(3, 7)], [(2, 3), (7, 11)], [(3, 7)], [(3,)], [(2,)], [(3, 7)], [(2, 3)], [(3,)], [(2,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], [' swap'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], [' swap', ' U4'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v2'], [' swap'], [' swap'], ['v3'], [' U4 swap'], [' U4'], ['m'], ['v4'], [' swap'], [' U4'], ['m'], [['swap']], ['v5'], ['v6'], [' swap'], [' U4', ' swap'], [' U4'], ['m'], ['v7'], [' swap'], [' U4'], ['m'], ['v8'], []]",[]
sabre_lookahead,0,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5), (8, 9)], [(5, 6)], [(9,)], [(7, 11), (8, 9)], [(10, 11)], [(9, 10)], [(10,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(9,)], [[(5, 9)]], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [(5, 6)], [(5, 9)], [(5, 6)], [(6,)], [(9,)], [[(9, 5)]], [(5,)], [(9,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], [' swap'], ['m'], [' swap', ' swap'], [' swap'], [' U4'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['v4'], [['U4']], ['m'], ['v5'], [['swap']], ['v6'], [' U4'], [' swap'], [' U4'], ['m'], ['v7'], [['U4']], ['m'], ['v8'], []]",[]
sabre_decay,0,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5), (8, 9)], [(5, 6)], [(9,)], [(7, 11), (8, 9)], [(10, 11)], [(9, 10)], [(10,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(9,)], [[(5, 9)]], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [(5, 6)], [(5, 9)], [(5, 6)], [(6,)], [(9,)], [[(9, 5)]], [(5,)], [(9,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], [' swap'], ['m'], [' swap', ' swap'], [' swap'], [' U4'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['v4'], [['U4']], ['m'], ['v5'], [['swap']], ['v6'], [' U4'], [' swap'], [' U4'], ['m'], ['v7'], [['U4']], ['m'], ['v8'], []]",[]
sabre_basic,1,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(6, 7), (8, 9)], [(3, 7)], [(9,)], [(8, 9)], [(6, 9)], [(6,)], [(6, 7)], [(5, 6)], [(4, 5)], [(5,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(3,)], [(4,)], [(0, 4)], [(0, 1)], [(1, 2)], [(2, 3)], [(1, 2)], [(1,)], [[(3, 7)]], [(9,)], [(6, 9)], [(6, 7)], [(7,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1, 5)], [(5, 6)], [(5,)], [(0,)], [(2, 6)], [(1, 2)], [(0, 1)], [(1,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], [' swap'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' swap'], [' swap'], [' swap'], [' U4'], [' U4'], ['m'], [['swap']], ['v4'], [' swap'], [' U4'], ['m'], ['v5'], ['v6'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['v7'], [' swap'], [' swap'], [' U4'], ['m'], ['v8'], []]","[[6, 9]]"
sabre_lookahead,1,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5), (8, 9)], [(9,)], [(8, 9)], [(6, 9)], [(6, 7)], [(5, 6)], [(7,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(9,)], [(6, 9)], [(2, 6)], [(2,)], [[(9, 5)]], [(9,)], [(1,)], [(6,)], [(2, 6)], [(1, 2)], [(2, 6)], [(5, 6)], [(6,)], [(1,)], [[(1, 5)]], [(5,)], [(1,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v4'], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], [['U4']], ['m'], ['v5'], ['v6'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['v7'], [['U4']], ['m'], ['v8'], []]","[[6, 9]]"
sabre_decay,1,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5), (8, 9)], [(9,)], [(8, 9)], [(6, 9)], [(6, 7)], [(5, 6)], [(7,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(9,)], [(6, 9)], [(2, 6)], [(2,)], [[(9, 5)]], [(9,)], [(1,)], [(6,)], [(2, 6)], [(1, 2)], [(2, 6)], [(5, 6)], [(6,)], [(1,)], [[(1, 5)]], [(5,)], [(1,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v4'], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], [['U4']], ['m'], ['v5'], ['v6'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['v7'], [['U4']], ['m'], ['v8'], []]","[[6, 9]]"
sabre_basic,2,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [[(8, 9)]], [(9,)], [(8, 9)], [(6, 9)], [(6, 7)], [(7,)], [(3, 7)], [(6, 7)], [(5, 6)], [(4, 5)], [(5,)], [(0,)], [[(0, 1)]], [(2,)], [(1, 2)], [(4,)], [[(5, 4)]], [(7,)], [(9,)], [(5, 9)], [(1, 5)], [(1,)], [(6, 9)], [(6, 7)], [(6,)], [(2,)], [(5,)], [(5, 6)], [(2, 6)], [(6, 7)], [(6,)], [(2,)], [(6, 7)], [(2, 6)], [(6,)], [(2,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [['U4']], ['m'], [' swap'], [' swap'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [' U4 swap'], ['v2'], [['swap']], ['v4'], ['v3'], [' U4'], [' U4'], ['m'], [' swap'], [' U4'], ['m'], ['v5'], ['v6'], [' swap'], [' U4'], [' U4'], ['m'], ['v7'], [' swap'], [' U4'], ['m'], ['v8'], []]","[[7, 10], [6, 9]]"
sabre_lookahead,2,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5), (8, 9)], [(5, 6)], [(9,)], [(8, 9), (7, 10)], [(9, 10)], [(10,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(9,)], [[(5, 9)]], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [(5, 6)], [(6, 9)], [(6,)], [(5,)], [[(5, 9)]], [(9,)], [(5,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], [' swap'], ['m'], [' swap', ' swap'], [' U4'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['v4'], [['U4']], ['m'], ['v5'], [['swap']], ['v6'], [' U4'], [' U4'], ['m'], ['v7'], [['U4']], ['m'], ['v8'], []]","[[7, 10], [6, 9]]"
sabre_decay,2,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5), (8, 9)], [(5, 6)], [(9,)], [(8, 9), (7, 10)], [(9, 10)], [(10,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(9,)], [[(5, 9)]], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [(5, 6)], [(6, 9)], [(6,)], [(5,)], [[(5, 9)]], [(9,)], [(5,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap', ' U4'], [' swap'], ['m'], [' swap', ' swap'], [' U4'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['v4'], [['U4']], ['m'], ['v5'], [['swap']], ['v6'], [' U4'], [' U4'], ['m'], ['v7'], [['U4']], ['m'], ['v8'], []]","[[7, 10], [6, 9]]"
sabre_basic,3,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(3, 6)], [(5,)], [(4, 5)], [(5, 6)], [(6,)], [[(8, 9)]], [(9,)], [(8, 9), (7, 10)], [(9, 10)], [(10,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1, 2)], [(3,)], [(5,)], [(5, 6)], [(3, 6)], [(2, 6)], [(2,)], [[(6, 3)]], [(9,)], [(5, 9)], [(5, 6)], [(6,)], [(0,)], [(3,)], [(2, 3)], [(1, 2)], [(0, 1)], [(1, 5)], [(1,)], [(0,)], [(4, 5)], [(0, 4)], [(4,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], [['U4']], ['m'], [' swap', ' swap'], [' U4'], ['m'], ['v0'], ['v1'], [' swap'], [' U4'], [' swap'], ['v3'], ['v2'], [' swap'], [' U4'], [' U4'], ['m'], [['swap']], ['v4'], [' swap'], [' U4'], ['m'], ['v5'], ['v6'], [' swap'], [' swap'], [' U4'], [' U4'], ['m'], ['v7'], [' swap'], [' U4'], ['m'], ['v8'], []]","[[3, 6], [7, 10], [5, 10]]"
sabre_lookahead,3,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(5, 6)], [(3, 6)], [(3,)], [[(8, 9)]], [(9,)], [(7, 10)], [(9, 10)], [(8, 9)], [(9,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(8,)], [(4, 8)], [(4, 5)], [(5,)], [(1,)], [(6,)], [(5, 6)], [(1, 5)], [(4, 5)], [(5,)], [(1,)], [(1, 5)], [(4, 5)], [(4,)], [(5,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' U4'], ['m'], [['U4']], ['m'], [' swap'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['v4'], [' swap'], [' U4'], ['m'], ['v5'], ['v6'], [' swap'], [' U4'], [' U4'], ['m'], ['v7'], [' swap'], [' U4'], ['m'], ['v8'], []]","[[3, 6], [7, 10], [5, 10]]"
sabre_decay,3,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(5, 6)], [(3, 6)], [(3,)], [[(8, 9)]], [(9,)], [(8, 9), (7, 10)], [(9, 10)], [(10,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(9,)], [[(5, 9)]], [(5,)], [(1,)], [(6,)], [(5, 6)], [(1, 5)], [(5, 9)], [(5,)], [(1,)], [(5, 9)], [(1, 5)], [(5,)], [(1,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' U4'], ['m'], [['U4']], ['m'], [' swap', ' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['v4'], [['U4']], ['m'], ['v5'], ['v6'], [' swap'], [' U4'], [' U4'], ['m'], ['v7'], [' swap'], [' U4'], ['m'], ['v8'], []]","[[3, 6], [7, 10], [5, 10]]"
sabre_basic,4,10,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [[(8, 9)]], [(9,)], [(8, 9), (7, 10)], [(9, 10)], [(10,)], [(3, 7)], [(6, 7)], [(5, 6)], [(4, 5)], [(5,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(4,)], [(4, 5)], [(5, 6)], [(7,)], [(6, 7)], [(2, 6)], [(2,)], [[(7, 10)]], [(9,)], [[(10, 9)]], [(10,)], [(1,)], [(6,)], [(5, 6)], [(1, 5)], [(5, 9)], [(5,)], [(1,)], [(5, 9)], [(1, 5)], [(5,)], [(1,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [['U4']], ['m'], [' swap', ' swap'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v2'], [' swap'], [' swap'], ['v3'], [' U4'], [' U4'], ['m'], [['swap']], ['v4'], [['U4']], ['m'], ['v5'], ['v6'], [' swap'], [' U4'], [' U4'], ['m'], ['v7'], [' swap'], [' U4'], ['m'], ['v8'], []]","[[11, 14], [9, 14], [7, 10], [5, 10]]"
