mode,#e,M,gates,gate_spec,coupling
transition,0,10,"[[(4, 8), (12, 13), (1, 5), (9, 10)], [(10, 11), (8, 12), (4, 5)], [(10, 14)], [(10, 11), (13, 14)], [(9, 10)], [(9, 13)], [(8, 9)], [(9, 10)], [(9, 13)], [(5, 9)], [(8, 9)], [(5, 9)], [(9, 13)]]","[[' U4', ' U4', ' U4', ' U4'], [' swap', ' U4', ' U4'], [' U4'], [' U4', ' U4'], [' U4'], [' swap'], [' U4'], [' U4'], [' U4'], [' swap'], [' U4'], [' U4'], [' U4']]",[]
normal,0,10,"[[(1, 5), (2, 3), (0, 4), (8, 9), (6, 10)], [(1, 2), (4, 8), (5, 6)], [(4, 5), (0, 1), (2, 3)], [(1, 2), (5, 9)], [(1, 5), (2, 6)], [(5, 9)], [(1, 5)], [(5, 6)], [(1, 5)], [(5, 6)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' swap', ' U4', ' U4'], [' swap', ' U4', ' U4'], [' U4', ' U4'], [' U4', ' U4'], [' swap'], [' U4'], [' swap'], [' U4'], [' U4']]",[]
transition,1,10,"[[(6, 10), (9, 13), (4, 8), (1, 5), (2, 3)], [(6, 9), (1, 2), (4, 5)], [(9, 10), (2, 6)], [(8, 9)], [(9, 13)], [(5, 9)], [(8, 9), (5, 6)], [(9, 10)], [(6, 9)], [(6, 10)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' swap'], [' swap'], [' U4'], [' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[6, 9]]"
normal,1,10,"[[(4, 5), (6, 9), (8, 12), (13, 14), (10, 11)], [(4, 8), (5, 9), (12, 13), (10, 14)], [(8, 9), (5, 6)], [(9, 13)], [(13, 14), (5, 9)], [(6, 9), (10, 14)], [(9, 10)], [(6, 10)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' swap', ' U4'], [' U4'], [' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4']]","[[6, 9]]"
transition,2,10,"[[(5, 6), (9, 13), (14, 15), (10, 11), (3, 7)], [(5, 9), (7, 10), (13, 14), (11, 15)], [(10, 14), (6, 9)], [(10, 11)], [(9, 10), (7, 11)], [(6, 10)], [(7, 10)], [(6, 7)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' swap', ' U4'], [' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[7, 10], [6, 9]]"
normal,2,10,"[[(7, 10), (11, 15), (13, 14), (5, 9), (2, 6)], [(10, 11), (14, 15), (9, 13), (5, 6)], [(10, 14), (7, 11)], [(9, 10)], [(10, 11), (6, 9)], [(7, 10)], [(6, 10)], [(6, 7)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' swap', ' U4'], [' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[7, 10], [6, 9]]"
transition,3,10,"[[(3, 6), (7, 11), (9, 10), (1, 5), (4, 8)], [(3, 7), (5, 9), (10, 11)], [(6, 7), (5, 10)], [(4, 5), (7, 10)], [(1, 5), (6, 10)], [(4, 5)], [(5, 10)], [(5, 6)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 6], [7, 10], [5, 10]]"
normal,3,10,"[[(3, 6), (7, 11), (9, 10), (4, 5), (0, 1)], [(3, 7), (5, 9), (10, 11)], [(5, 10), (6, 7)], [(1, 5), (7, 10)], [(4, 5), (6, 10)], [(1, 5)], [(5, 10)], [(5, 6)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 6], [7, 10], [5, 10]]"
transition,4,10,"[[(7, 11), (14, 15), (9, 10), (4, 5), (8, 12)], [(11, 15), (5, 9), (7, 10), (4, 8)], [(5, 10), (11, 14), (8, 9)], [(10, 11), (5, 9)], [(10, 14)], [(9, 10)], [(9, 14)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' swap'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[11, 14], [9, 14], [7, 10], [5, 10]]"
normal,4,10,"[[(7, 10), (11, 15), (13, 14), (5, 9), (4, 8)], [(7, 11), (9, 13), (14, 15)], [(9, 14), (10, 11)], [(8, 9), (11, 14)], [(5, 9), (10, 14)], [(8, 9)], [(9, 14)], [(9, 10)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[11, 14], [9, 14], [7, 10], [5, 10]]"
transition,5,10,"[[(5, 6), (10, 11), (4, 9), (8, 12), (13, 14)], [(6, 11), (4, 8), (5, 9), (12, 13)], [(6, 10), (8, 9)], [(6, 9), (8, 13)], [(9, 10)], [(9, 13)], [(10, 13)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' U4', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[8, 13], [10, 13], [4, 9], [6, 11], [6, 9]]"
normal,5,10,"[[(5, 6), (10, 11), (4, 9), (8, 12), (13, 14)], [(6, 11), (4, 8), (5, 9), (12, 13)], [(6, 10), (8, 9)], [(6, 9), (8, 13)], [(9, 10)], [(9, 13)], [(10, 13)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' U4', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[8, 13], [10, 13], [4, 9], [6, 11], [6, 9]]"
