compiler,#e,M,#gates,gate_spec,coupling
sabre_basic,4,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), [(1, 2)], (4,), (7,), (6,), (2,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], (4,), [(3, 4)], [(2, 3), (0, 4)], [(1, 2)], [(2, 3)], [(3, 4)], [(2, 3)], [(1, 2)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', [' swap'], 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' swap'], [' swap', ' swap'], [' U4 swap'], [' swap'], [' U4 swap'], [' swap'], [' U4']]","[[6, 14], [9, 14], [14, 17], [9, 16]]"
sabre_lookahead,4,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), (4,), (7,), (6,), (1,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], (3,), [(2, 3), (0, 4)], [(3, 4)], [(2, 3)], [(3, 4)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' U4', ' swap'], [' swap'], [' U4'], [' U4']]","[[6, 14], [9, 14], [14, 17], [9, 16]]"
sabre_decay,4,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), (4,), (7,), (6,), (1,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], (3,), [(2, 3), (0, 4)], [(3, 4)], [(2, 3)], [(3, 4)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' U4', ' swap'], [' swap'], [' U4'], [' U4']]","[[6, 14], [9, 14], [14, 17], [9, 16]]"
sabre_basic,3,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), [(1, 2)], (4,), (7,), (6,), (2,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], (4,), [(3, 4)], [(2, 3), (0, 4)], [(1, 2)], [(2, 3)], [(3, 4)], [(2, 3)], [(1, 2)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', [' swap'], 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' swap'], [' swap', ' swap'], [' U4 swap'], [' swap'], [' U4 swap'], [' swap'], [' U4']]","[[8, 12], [3, 12], [4, 13]]"
sabre_lookahead,3,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), (4,), (7,), (6,), (1,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], (3,), [(2, 3), (0, 4)], [(3, 4)], [(2, 3)], [(3, 4)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' U4', ' swap'], [' swap'], [' U4'], [' U4']]","[[8, 12], [3, 12], [4, 13]]"
sabre_decay,3,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), (4,), (7,), (6,), (1,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], (3,), [(2, 3), (0, 4)], [(3, 4)], [(2, 3)], [(3, 4)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' U4', ' swap'], [' swap'], [' U4'], [' U4']]","[[8, 12], [3, 12], [4, 13]]"
sabre_basic,2,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), [(1, 2)], (4,), (7,), (6,), (2,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], (4,), [(3, 4)], [(2, 3), (0, 4)], [(1, 2)], [(2, 3)], [(3, 4)], [(2, 3)], [(1, 2)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', [' swap'], 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' swap'], [' swap', ' swap'], [' U4 swap'], [' swap'], [' U4 swap'], [' swap'], [' U4']]","[[9, 14], [12, 17]]"
sabre_lookahead,2,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), (4,), (7,), (6,), (1,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], (3,), [(2, 3), (0, 4)], [(3, 4)], [(2, 3)], [(3, 4)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' U4', ' swap'], [' swap'], [' U4'], [' U4']]","[[9, 14], [12, 17]]"
sabre_decay,2,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), (4,), (7,), (6,), (1,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], (3,), [(2, 3), (0, 4)], [(3, 4)], [(2, 3)], [(3, 4)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' U4', ' swap'], [' swap'], [' U4'], [' U4']]","[[9, 14], [12, 17]]"
sabre_basic,1,8,"[(3,), [(2, 3), (4, 5), (6, 7)], [(3, 4), (5, 6)], (2,), (5,), [(1, 2)], (4,), (7,), (6,), (2,), [(5, 6)], [(4, 5)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], (4,), [(3, 4)], [(2, 3), (0, 4)], [(1, 2)], [(2, 3)], [(3, 4)], [(2, 3)], [(1, 2)]]","['m', [' U4', ' U4', ' U4'], [' U4', ' U4'], 'v3', 'm', [' swap'], 'v5', 'm', 'v7', 'm', [' swap'], [' U4'], [' swap'], [' U4'], [' swap'], [' U4'], 'v1', [' swap'], [' swap', ' swap'], [' U4 swap'], [' swap'], [' U4 swap'], [' swap'], [' U4']]","[[2, 12]]"
