compiler,#e,M,gates,gate_spec,coupling
tket,0,10,"[[(0, 4)], [(4, 5)], [(3, 4)], [(2, 3), (0, 4)], [(3, 4)], [(2, 3), (0, 4)], [(1, 2), (4, 5)], [(2, 8), (3, 4), (5, 6)], [(1, 2), (8, 11), (4, 5), (6, 7)], [(2, 3), (5, 6)], [(3, 4), (2, 8)], [(4, 5)], [(3, 4)], [(2, 3)], [(2, 8)], [(8, 11)], [(2, 8)], [(8, 11)]]","[[' ZZ'], [' ZZ'], [' swap'], [' ZZ', ' ZZ'], [' swap'], [' swap', ' swap'], [' ZZ', ' swap'], [' ZZ', ' ZZ', ' ZZ swap'], [' swap', ' swap', ' ZZ swap', ' swap'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' swap'], [' ZZ swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]",[]
tket,1,10,"[[(4, 12)], [(0, 4), (11, 12)], [(3, 4), (8, 11), (12, 13)], [(0, 4), (10, 11)], [(3, 4)], [(2, 3), (4, 12)], [(11, 12), (1, 2)], [(8, 11)], [(2, 8), (10, 11)], [(1, 2), (8, 11)], [(2, 8)], [(1, 2)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' ZZ swap'], [' ZZ']]","[[4, 12]]"
tket,2,10,"[[(5, 13)], [(5, 6), (13, 14)], [(6, 9), (12, 13), (4, 5)], [(6, 7), (13, 14)], [(12, 13), (6, 9)], [(5, 13), (11, 12)], [(5, 6), (12, 13)], [(6, 9), (13, 14)], [(6, 7), (9, 15)], [(6, 9), (14, 15)], [(9, 15)], [(14, 15)], [(9, 15)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' swap', ' swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' swap'], [' ZZ']]","[[5, 13], [9, 16]]"
tket,3,10,"[[(4, 13)], [(4, 5), (13, 14)], [(0, 4), (9, 14), (12, 13)], [(0, 5), (14, 15)], [(4, 5)], [(4, 13)], [(3, 4), (13, 14)], [(0, 4), (9, 14)], [(4, 5), (6, 9)], [(5, 6), (9, 15)], [(6, 9)], [(5, 6)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap'], [' ZZ']]","[[4, 13], [9, 14], [0, 5]]"
tket,4,10,"[[(8, 12)], [(2, 8), (11, 12)], [(2, 3), (12, 17)], [(12, 13), (1, 2)], [(8, 12)], [(11, 12)], [(12, 17)], [(13, 17), (11, 12)], [(4, 13), (2, 12)], [(2, 3), (0, 4)], [(3, 4), (1, 2)], [(2, 3), (0, 4)], [(3, 4)], [(0, 4)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ swap'], [' ZZ']]","[[8, 12], [4, 13], [2, 12], [12, 17]]"
tket,5,10,"[[(3, 4)], [(3, 12), (4, 14)], [(4, 5), (12, 13), (2, 3)], [(4, 14), (11, 12)], [(4, 5), (12, 13)], [(3, 4), (5, 6)], [(0, 4), (3, 12), (6, 14)], [(4, 12)], [(4, 14), (11, 12)], [(4, 12), (13, 14)], [(12, 13)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' swap'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' ZZ']]","[[3, 12], [4, 12], [4, 14], [6, 14], [14, 17]]"
tket,6,10,"[[(3, 13)], [(3, 4), (5, 13)], [(13, 14), (2, 3), (0, 4)], [(5, 13)], [(13, 14), (5, 9)], [(3, 13), (14, 15)], [(12, 13)], [(4, 13)], [(3, 4)], [(0, 4)], [(0, 5)], [(5, 15)], [(5, 13), (14, 15)], [(13, 14)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' swap'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[3, 13], [4, 13], [5, 13], [5, 15], [5, 9], [0, 5]]"
tket,7,10,"[[(3, 4)], [(3, 12), (0, 4)], [(4, 14), (12, 13), (2, 3)], [(5, 14), (11, 12)], [(0, 5), (12, 13), (8, 11)], [(0, 3), (5, 14)], [(3, 12), (13, 14)], [(11, 12)], [(12, 13)], [(11, 12)], [(8, 11)], [(11, 12)], [(8, 11)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ', ' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 12], [4, 12], [4, 14], [5, 14], [0, 3], [0, 5], [14, 17]]"
tket,8,10,"[[(3, 12)], [(3, 13), (12, 17)], [(3, 4), (14, 17), (11, 12)], [(3, 13), (6, 14)], [(3, 4), (14, 15)], [(3, 12), (0, 4)], [(12, 17)], [(14, 17)], [(4, 14)], [(6, 14)], [(4, 14)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ swap'], [' ZZ']]","[[3, 12], [3, 13], [4, 14], [6, 14], [0, 3], [0, 5], [12, 17], [14, 17]]"
tket,9,10,"[[(4, 5)], [(3, 4), (0, 5)], [(3, 12), (5, 14), (4, 13)], [(0, 5), (2, 3)], [(0, 4), (5, 15)], [(4, 13), (14, 15)], [(12, 13)], [(12, 17)], [(3, 12), (14, 17)], [(12, 17)], [(14, 17)], [(12, 17)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' ZZ', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 12], [4, 13], [5, 14], [5, 15], [5, 9], [0, 3], [0, 5], [12, 17], [14, 17]]"
