compiler,#e,M,#gates,gate_spec,coupling
sabre_basic,9,10,"[[(8, 11), (2, 3)], [(11, 12)], [(12, 13)], [(5, 13)], [(4, 5)], [(5, 9), (3, 4)], [(5, 6)], [(5, 13), (6, 7)], [(5, 6)], [(0, 5)], [(5, 9), (0, 3)], [(4, 5), (6, 9)], [(3, 4), (6, 7)], [(2, 3), (5, 6)], [(3, 4), (6, 7)], [(2, 3)], [(0, 3)], [(0, 5)], [(0, 3)], [(2, 3), (0, 5)], [(1, 2), (0, 3), (5, 6)], [(2, 3), (4, 5)], [(3, 4)]]","[[' swap', ' swap'], [' swap'], [' swap'], [' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' ZZ'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' swap'], [' swap'], [' ZZ'], [' swap'], [' swap', ' swap'], [' ZZ swap', ' swap', ' swap'], [' ZZ swap', ' swap'], [' ZZ']]","[[3, 12], [5, 13], [5, 14], [5, 15], [5, 9], [0, 3], [0, 5], [12, 17], [14, 17]]"
sabre_lookahead,9,10,"[[(4, 5), (2, 8)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(5, 9)], [(5, 6)], [(5, 9)], [(0, 5)], [(0, 3), (5, 6)], [(3, 4), (6, 7)], [(2, 3), (4, 5)], [(2, 8), (3, 4)], [(1, 2), (4, 5)], [(2, 3), (5, 6)], [(3, 4), (6, 7), (2, 8)], [(0, 3)], [(0, 5), (2, 3)], [(0, 3), (5, 6)], [(2, 3)]]","[[' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' swap'], [' swap', ' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' swap', ' swap'], [' ZZ swap', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' swap'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ']]","[[3, 12], [5, 13], [5, 14], [5, 15], [5, 9], [0, 3], [0, 5], [12, 17], [14, 17]]"
sabre_decay,9,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(5, 9)], [(5, 6)], [(0, 5), (6, 7)], [(0, 3), (5, 9)], [(2, 3), (0, 5)], [(2, 8), (3, 4), (5, 6)], [(2, 3)], [(2, 8)], [(1, 2)], [(2, 3)], [(0, 3)], [(2, 3), (0, 5)], [(5, 6), (1, 2)], [(4, 5)], [(5, 9)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' swap', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ swap'], [' swap', ' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' swap'], [' swap'], [' swap', ' ZZ swap'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' ZZ']]","[[3, 12], [5, 13], [5, 14], [5, 15], [5, 9], [0, 3], [0, 5], [12, 17], [14, 17]]"
sabre_basic,5,10,"[[(8, 11)], [(11, 12)], [(12, 13)], [(5, 13)], [(4, 5)], [(3, 4), (5, 9)], [(0, 4), (5, 6), (2, 3)], [(4, 5)], [(5, 9)], [(4, 5)], [(5, 13), (0, 4)], [(5, 6)], [(4, 5), (6, 7)], [(3, 4), (5, 6)], [(2, 3), (5, 13), (6, 9)], [(5, 9), (3, 13), (1, 2), (6, 7)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (5, 13), (0, 4)], [(1, 2), (3, 13)], [(2, 3)]]","[[' swap'], [' swap'], [' swap'], [' ZZ'], [' ZZ swap'], [' swap', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap', ' ZZ swap'], [' swap'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' swap'], [' swap', ' ZZ', ' ZZ', ' ZZ swap'], [' swap'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ swap', ' swap'], [' ZZ']]","[[3, 13], [5, 13], [5, 14], [5, 9], [9, 16]]"
sabre_lookahead,5,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3), (0, 4)], [(3, 13)], [(5, 13)], [(3, 13), (5, 9)], [(2, 3), (5, 6)], [(5, 13), (2, 8), (6, 7)], [(3, 13), (5, 9)], [(4, 5), (2, 3)], [(0, 4), (5, 13)], [(3, 4), (5, 6)], [(2, 3), (0, 4)], [(1, 2), (4, 5)], [(2, 3)], [(3, 4)], [(3, 13)], [(5, 13)], [(3, 13)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ swap', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]","[[3, 13], [5, 13], [5, 14], [5, 9], [9, 16]]"
sabre_decay,5,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3), (0, 4)], [(3, 13)], [(5, 13)], [(3, 13), (5, 9)], [(2, 3), (5, 6)], [(5, 13), (2, 8), (6, 7)], [(3, 13), (5, 9)], [(4, 5), (2, 3)], [(0, 4), (5, 13)], [(3, 4), (5, 6)], [(2, 3), (0, 4)], [(1, 2), (4, 5)], [(2, 3)], [(3, 4)], [(3, 13)], [(5, 13)], [(3, 13)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ swap', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]","[[3, 13], [5, 13], [5, 14], [5, 9], [9, 16]]"
sabre_basic,4,10,"[[(8, 11), (5, 13), (2, 3)], [(11, 12)], [(12, 13)], [(4, 12)], [(12, 13)], [(5, 13)], [(5, 6)], [(6, 9)], [(5, 6), (9, 15)], [(6, 7)], [(5, 6)], [(4, 5)], [(4, 12), (5, 15)], [(3, 4)], [(4, 12)], [(3, 4)], [(4, 5), (2, 3)], [(0, 4)], [(4, 5)], [(3, 4), (5, 15)], [(2, 3), (0, 4)], [(4, 5), (1, 2)], [(5, 6)], [(4, 5)], [(3, 4), (5, 6)], [(0, 4), (2, 3)], [(4, 5)], [(3, 4), (5, 15)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ swap'], [' swap'], [' swap'], [' ZZ'], [' ZZ', ' swap'], [' swap'], [' swap'], [' ZZ'], [' swap', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ'], [' swap'], [' swap', ' swap'], [' ZZ', ' ZZ swap'], [' swap'], [' ZZ swap', ' swap'], [' ZZ']]","[[4, 12], [5, 13], [5, 14], [5, 15]]"
sabre_lookahead,4,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (6, 7)], [(6, 9), (0, 4), (2, 3)], [(5, 6)], [(4, 5)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(3, 4)], [(4, 5)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' swap', ' swap', ' ZZ'], [' swap'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap'], [' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[4, 12], [5, 13], [5, 14], [5, 15]]"
sabre_decay,4,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (9, 15), (6, 7)], [(0, 4), (2, 3)], [(1, 2), (4, 5)], [(5, 15), (2, 3)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5)], [(5, 6), (1, 2)], [(4, 5)], [(0, 4), (5, 15)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' swap', ' ZZ swap'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' swap'], [' ZZ swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' swap', ' swap'], [' ZZ'], [' ZZ']]","[[4, 12], [5, 13], [5, 14], [5, 15]]"
sabre_basic,8,10,"[[(3, 8), (4, 5), (6, 7)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(4, 5), (2, 3), (6, 9)], [(0, 5), (6, 7), (3, 4)], [(5, 6)], [(6, 9)], [(5, 6)], [(0, 5), (6, 9)], [(0, 3), (5, 6)], [(3, 8), (6, 7)], [(0, 3), (5, 6)], [(3, 8)], [(3, 4)], [(4, 5)], [(3, 4)], [(2, 3), (4, 5)], [(1, 2), (3, 4), (5, 6)], [(2, 3), (4, 5)], [(1, 2), (3, 4)], [(2, 3)]]","[[' swap', ' swap', ' swap'], [' ZZ'], [' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ swap', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap', ' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' swap'], [' swap'], [' ZZ'], [' swap'], [' swap', ' swap'], [' ZZ', ' swap', ' swap'], [' swap', ' swap'], [' ZZ swap', ' swap'], [' ZZ']]","[[3, 8], [4, 12], [5, 14], [3, 11], [0, 3], [0, 5], [12, 17], [14, 17]]"
