compiler,fidelity,g1,g2,#e,idling time,two qubit gate fidelity,gates,gate_spec,coupling
tket,0.5785508440164907,54,38,8,"[29, 31, 15, 4, 31, 15, 30, 21, 30, 30]","[0.986, 0.986, 0.986, 0.986, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 5), [4], [5], (4, 5), (12, 13), [12], [13], (12, 13), (0, 4), [0], [4], (0, 4), (5, 14), [5], [14], (5, 14), (12, 17), [12], [17], (12, 17), (5, 15), [5], [15], (5, 15), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (0, 5), [0], [5], (0, 5), [0], [5], (0, 5), [0], [5], (4, 13), [4], [13], (4, 13), (5, 14), [5], [14], (5, 14), [5], [14], (5, 14), [5], [14], (12, 13), [12], [13], (12, 13), (4, 5), [4], [5], (4, 5), (12, 17), [12], [17], (12, 17), (14, 17), [14], [17], (14, 17), (5, 15), [5], [15], (5, 15), (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']",
tket,0.5403033916964656,48,39,10,"[30, 21, 30, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.9805, 0.976, 0.9850000000000001, 0.9805, 0.9805, 0.976, 0.9850000000000001, 0.9805, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (11, 12), [11], [12], (11, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (0, 5), [0], [5], (0, 5), (3, 11), [3], [11], (3, 11), (11, 12), [11], [12], (11, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5707592629188093,48,39,5,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9850000000000001, 0.9850000000000001, 0.976, 0.9850000000000001, 0.9850000000000001, 0.9850000000000001, 0.976, 0.9850000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5707301463684588,48,39,4,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.9855, 0.9855, 0.9900000000000001, 0.9855, 0.9855, 0.9900000000000001, 0.9805, 0.9850000000000001, 0.976, 0.9805, 0.9805, 0.9850000000000001, 0.976, 0.9805, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5812799496101001,48,39,3,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.9855, 0.9855, 0.9900000000000001, 0.9855, 0.9855, 0.9900000000000001, 0.9850000000000001, 0.9850000000000001, 0.976, 0.9850000000000001, 0.9850000000000001, 0.9850000000000001, 0.976, 0.9850000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5604093273677567,48,39,2,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9805, 0.976, 0.9855, 0.981, 0.9805, 0.976, 0.9855, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5812799496101001,48,39,1,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.9855, 0.9855, 0.9900000000000001, 0.9855, 0.9855, 0.9900000000000001, 0.9850000000000001, 0.9850000000000001, 0.976, 0.9850000000000001, 0.9850000000000001, 0.9850000000000001, 0.976, 0.9850000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5836413838772402,48,39,0,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.9905, 0.986, 0.9855, 0.9905, 0.9855, 0.9850000000000001, 0.976, 0.9855, 0.9855, 0.9850000000000001, 0.976, 0.9855, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5604004023969958,48,39,7,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9805, 0.9850000000000001, 0.976, 0.9805, 0.9805, 0.9850000000000001, 0.976, 0.9805, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
tket,0.5491250490613795,48,39,6,"[30, 30, 21, 30, 30, 13, 21, 17, 25, 29]","[0.986, 0.986, 0.986, 0.986, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.9805, 0.9805, 0.976, 0.9850000000000001, 0.9805, 0.9805, 0.976, 0.9850000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (2, 12), [2], [12], (2, 12), (14, 15), [14], [15], (14, 15), (0, 3), [0], [3], (0, 3), (12, 17), [12], [17], (12, 17), [12], [17], (12, 17), [12], [17], (2, 3), [2], [3], (2, 3), (0, 5), [0], [5], (0, 5), (2, 12), [2], [12], (2, 12), (5, 15), [5], [15], (5, 15), (12, 13), [12], [13], (12, 13), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']",
