compiler,#e,M,#gates,gate_spec,coupling
sabre_basic,0,8,"[[(2, 3), (4, 5)], [(1, 2), (3, 4)], [(3,)], [(2, 3)], [(3, 4)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(1,)], [(1, 2)], [(2, 3)], [(4,)], [(4, 5)], [(0, 4)], [(3, 4)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(3,)], [(6,)], [(4,)], [(5,)], [[(5, 4)]], [(4,)], [(5,)], []]","[[' U4', ' U4'], [' swap', ' U4'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [' swap'], [' swap'], ['v2'], [' swap'], [' swap'], [' U4'], ['v3'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]",[]
sabre_lookahead,0,8,"[[(2, 3), (4, 5)], [(3, 4)], [(0, 4)], [(3,)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], [(1,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(2,)], [(3,)], [(0, 4), (2, 3)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(2, 3)], [(2,)], [(5,)], [(3,)], [(4,)], [[(4, 3)]], [(3,)], [(4,)], []]","[[' U4', ' U4'], [' U4'], [' swap'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v2'], ['v1'], ['v0'], [' swap', ' U4'], ['v3'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]",[]
sabre_decay,0,8,"[[(2, 3), (4, 5)], [(3, 4)], [(0, 4)], [(3,)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], [(1,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(2,)], [(3,)], [(0, 4), (2, 3)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(2, 3)], [(2,)], [(5,)], [(3,)], [(4,)], [[(4, 3)]], [(3,)], [(4,)], []]","[[' U4', ' U4'], [' U4'], [' swap'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v2'], ['v1'], ['v0'], [' swap', ' U4'], ['v3'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]",[]
sabre_basic,1,8,"[[(2, 3), (4, 5)], [(1, 2), (3, 4)], [(3,)], [(2, 3)], [(3, 4)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(1,)], [(1, 2)], [(2, 3)], [(4,)], [(4, 5)], [(0, 4)], [(3, 4)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(3,)], [(6,)], [(4,)], [(5,)], [[(5, 4)]], [(4,)], [(5,)], []]","[[' U4', ' U4'], [' swap', ' U4'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [' swap'], [' swap'], ['v2'], [' swap'], [' swap'], [' U4'], ['v3'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]","[[2, 12]]"
sabre_lookahead,1,8,"[[(2, 3), (4, 5)], [(3, 4)], [(0, 4)], [(3,)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], [(1,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(2,)], [(3,)], [(0, 4), (2, 3)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(2, 3)], [(2,)], [(5,)], [(3,)], [(4,)], [[(4, 3)]], [(3,)], [(4,)], []]","[[' U4', ' U4'], [' U4'], [' swap'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v2'], ['v1'], ['v0'], [' swap', ' U4'], ['v3'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]","[[2, 12]]"
sabre_decay,1,8,"[[(2, 3), (4, 5)], [(3, 4)], [(0, 4)], [(3,)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], [(1,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(2,)], [(3,)], [(0, 4), (2, 3)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(2, 3)], [(2,)], [(5,)], [(3,)], [(4,)], [[(4, 3)]], [(3,)], [(4,)], []]","[[' U4', ' U4'], [' U4'], [' swap'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v2'], ['v1'], ['v0'], [' swap', ' U4'], ['v3'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]","[[2, 12]]"
sabre_basic,2,8,"[[(2, 3), (4, 5)], [(1, 2), (3, 4)], [(3,)], [(2, 3)], [(3, 4)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(1,)], [(1, 2)], [(2, 3)], [(4,)], [(4, 5)], [(0, 4)], [(3, 4)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(3,)], [(6,)], [(4,)], [(5,)], [[(5, 4)]], [(4,)], [(5,)], []]","[[' U4', ' U4'], [' swap', ' U4'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [' swap'], [' swap'], ['v2'], [' swap'], [' swap'], [' U4'], ['v3'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]","[[9, 14], [12, 17]]"
sabre_lookahead,2,8,"[[(2, 3), (4, 5)], [(3, 4)], [(0, 4)], [(3,)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], [(1,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(2,)], [(3,)], [(0, 4), (2, 3)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(2, 3)], [(2,)], [(5,)], [(3,)], [(4,)], [[(4, 3)]], [(3,)], [(4,)], []]","[[' U4', ' U4'], [' U4'], [' swap'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v2'], ['v1'], ['v0'], [' swap', ' U4'], ['v3'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]","[[9, 14], [12, 17]]"
sabre_decay,2,8,"[[(2, 3), (4, 5)], [(3, 4)], [(0, 4)], [(3,)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(1, 2)], [(1,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(2,)], [(3,)], [(0, 4), (2, 3)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(2, 3)], [(2,)], [(5,)], [(3,)], [(4,)], [[(4, 3)]], [(3,)], [(4,)], []]","[[' U4', ' U4'], [' U4'], [' swap'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v2'], ['v1'], ['v0'], [' swap', ' U4'], ['v3'], [' swap'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]","[[9, 14], [12, 17]]"
sabre_basic,3,8,"[[(2, 3), (4, 5)], [(1, 2), (3, 4)], [(3,)], [(2, 3)], [(3, 4)], [(0, 4)], [(3, 4)], [(2, 3)], [(1, 2)], [(2,)], [(6, 7)], [(5, 6)], [(5,)], [(7,)], [(0,)], [(1,)], [(1, 2)], [(2, 3)], [(4,)], [(4, 5)], [(0, 4)], [(3, 4)], [(6,)], [(5, 6)], [(4, 5)], [(3, 4)], [(3,)], [(6,)], [(4,)], [(5,)], [[(5, 4)]], [(4,)], [(5,)], []]","[[' U4', ' U4'], [' swap', ' U4'], ['m'], [' swap'], [' swap'], [' U4'], [' swap'], [' swap'], [' U4'], ['m'], [' U4'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [' swap'], [' swap'], ['v2'], [' swap'], [' swap'], [' U4'], ['v3'], [' U4'], [' swap'], [' U4'], ['m'], ['m'], ['v5'], ['v4'], [['U4']], ['m'], ['v6'], []]","[[8, 12], [3, 12], [4, 13]]"
