mode,#e,M,#gates,gate_spec,coupling
transition,5,10,"[[(2, 3), (8, 11), (12, 13), (0, 4), (5, 6)], [(2, 8), (4, 13), (11, 12)], [(3, 8), (4, 12)], [(4, 5), (8, 12)], [(0, 4), (3, 12)], [(4, 5)], [(4, 12)], [(3, 4)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 8], [8, 12], [3, 12], [4, 12], [4, 13]]"
normal,5,10,"[[(2, 3), (8, 11), (12, 13), (0, 4), (5, 6)], [(2, 8), (4, 13), (11, 12)], [(4, 12), (3, 8)], [(4, 5), (8, 12)], [(0, 4), (3, 12)], [(4, 5)], [(4, 12)], [(3, 4)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 8], [8, 12], [3, 12], [4, 12], [4, 13]]"
transition,4,10,"[[(2, 3), (8, 11), (4, 12), (13, 17), (14, 15)], [(2, 8), (11, 12), (4, 13)], [(3, 8), (12, 13)], [(13, 14), (3, 4), (8, 12)], [(13, 17), (4, 12)], [(13, 14)], [(12, 13)], [(4, 13)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 8], [8, 12], [4, 12], [4, 13]]"
normal,4,10,"[[(2, 3), (8, 11), (4, 12), (13, 17), (14, 15)], [(2, 8), (11, 12), (4, 13)], [(3, 8), (12, 13)], [(13, 14), (3, 4), (8, 12)], [(13, 17), (4, 12)], [(13, 14)], [(12, 13)], [(4, 13)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' swap', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 8], [8, 12], [4, 12], [4, 13]]"
transition,7,10,"[[(2, 8), (11, 12), (0, 3), (4, 14), (13, 17)], [(8, 11), (2, 3), (0, 4), (13, 14)], [(3, 4), (8, 12)], [(3, 8), (4, 13)], [(3, 12)], [(3, 13)], [(12, 13)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' U4', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 8], [8, 12], [3, 12], [3, 13], [4, 13], [4, 14], [0, 3]]"
normal,7,10,"[[(2, 8), (11, 12), (0, 3), (4, 14), (13, 17)], [(8, 11), (2, 3), (0, 4), (13, 14)], [(3, 4), (8, 12)], [(3, 8), (4, 13)], [(3, 12)], [(3, 13)], [(12, 13)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4', ' U4'], [' U4', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[3, 8], [8, 12], [3, 12], [3, 13], [4, 13], [4, 14], [0, 3]]"
transition,3,10,"[[(5, 14), (15, 16), (13, 17), (6, 9), (11, 12)], [(5, 13), (14, 15)], [(15, 16), (13, 14), (5, 6)], [(12, 13), (9, 15)], [(5, 15), (13, 17)], [(14, 15), (12, 13)], [(5, 14)], [(13, 14)], [(5, 13)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4'], [' swap', ' U4', ' swap'], [' swap', ' U4'], [' U4', ' U4'], [' U4', ' U4'], [' U4'], [' U4'], [' U4']]","[[5, 13], [5, 14], [5, 15]]"
normal,3,10,"[[(3, 4), (5, 13), (6, 9), (14, 15)], [(4, 5), (13, 17), (9, 15)], [(3, 4), (5, 6), (12, 13), (14, 15)], [(4, 5), (13, 17)], [(5, 15)], [(5, 13)], [(4, 5), (13, 14)], [(5, 13)], [(5, 14)]]","[[' U4', ' U4', ' U4', ' U4'], [' swap', ' swap', ' swap U4'], [' U4', ' U4', ' U4', ' U4'], [' U4', ' U4'], [' U4'], [' swap'], [' U4', ' U4'], [' U4'], [' U4']]","[[5, 13], [5, 14], [5, 15]]"
transition,2,10,"[[(6, 9), (14, 15), (12, 13), (2, 3), (4, 5)], [(13, 14), (9, 15), (3, 4)], [(5, 13), (6, 9)], [(12, 13)], [(5, 13)], [(5, 9)], [(5, 6)], [(4, 5)], [(5, 13)], [(4, 5)], [(5, 6)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4 swap', ' U4 swap'], [' swap', ' U4'], [' U4'], [' U4'], [' U4'], [' U4'], [' swap'], [' U4'], [' U4'], [' U4']]","[[5, 13], [5, 9]]"
normal,2,10,"[[(6, 9), (14, 15), (5, 13), (0, 4), (2, 3)], [(4, 5), (13, 14), (9, 15)], [(5, 13), (6, 9)], [(4, 5)], [(3, 4), (5, 9)], [(0, 4), (5, 6)], [(3, 4)], [(4, 5)], [(5, 6)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4 swap'], [' swap', ' U4'], [' U4'], [' swap', ' U4'], [' U4', ' U4'], [' U4'], [' swap U4'], [' U4']]","[[5, 13], [5, 9]]"
transition,1,10,"[[(5, 6), (9, 15), (13, 14), (0, 4), (2, 3)], [(14, 15), (6, 9)], [(4, 14), (5, 6)], [(13, 14)], [(4, 14)], [(4, 5)], [(5, 6)], [(4, 5)], [(3, 4)], [(0, 4)], [(4, 14)], [(4, 5)], [(3, 4)]]","[[' U4', ' U4', ' U4', ' U4', ' U4'], [' U4', ' U4 swap'], [' swap', ' U4'], [' U4'], [' U4'], [' swap'], [' U4'], [' U4'], [' swap'], [' U4'], [' U4'], [' U4'], [' U4']]","[[4, 14]]"
