#e,compiler,fidelity no crosstalk,fidelity,g1,g2,D,avg idling time,idling time,qubit lifetime,avg two qubit gate fidelity,two qubit gate fidelity,gates,gate_spec
9,transition,0.6392948206859096,0.5742258429592305,36,33,470,316.0,"[335, 335, 335, 95, 365, 335, 335, 345, 345, 335]","[470, 470, 470, 470, 470, 470, 470, 470, 470, 470]",0.9877878787878789,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9905, 0.9905, 0.9905, 0.9905, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (12, 13), [12], [13], (12, 13), (4, 5), [4], [5], (4, 5), (13, 17), [13], [17], (13, 17), (0, 5), [0], [5], (0, 5), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 15), [5], [15], (5, 15), (3, 12), [3], [12], (3, 12), (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (14, 17), [14], [17], (14, 17), (0, 3), [0], [3], (0, 3), (0, 5), [0], [5], (0, 5), (5, 14), [5], [14], (5, 14), (5, 15), [5], [15], (5, 15), (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
9,normal,0.6392948206859096,0.5742258429592305,36,33,470,316.0,"[335, 335, 335, 95, 365, 335, 335, 345, 345, 335]","[470, 470, 470, 470, 470, 470, 470, 470, 470, 470]",0.9877878787878789,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9905, 0.9905, 0.9905, 0.9905, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (12, 13), [12], [13], (12, 13), (4, 5), [4], [5], (4, 5), (13, 17), [13], [17], (13, 17), (3, 4), [3], [4], (3, 4), (0, 5), [0], [5], (0, 5), (12, 17), [12], [17], (12, 17), (5, 15), [5], [15], (5, 15), (3, 12), [3], [12], (3, 12), (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (14, 17), [14], [17], (14, 17), (0, 3), [0], [3], (0, 3), (0, 5), [0], [5], (0, 5), (5, 14), [5], [14], (5, 14), (5, 15), [5], [15], (5, 15), (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
5,transition,0.577676622792057,0.5436556658394113,42,36,680,505.0,"[575, 555, 305, 545, 545, 555, 545, 305, 575, 545]","[680, 680, 680, 680, 680, 680, 680, 680, 680, 680]",0.9893333333333333,"[0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(14, 17), [14], [17], (14, 17), (4, 14), [4], [14], (4, 14), (4, 5), [4], [5], (4, 5), (6, 14), [6], [14], (6, 14), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (3, 4), [3], [4], (3, 4), (14, 17), [14], [17], (14, 17), (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (13, 17), [13], [17], (13, 17), (13, 14), [13], [14], (13, 14), (6, 14), [6], [14], (6, 14), (12, 13), [12], [13], (12, 13), (5, 6), [5], [6], (5, 6), (4, 5), [4], [5], (4, 5), (4, 12), [4], [12], (4, 12), (3, 4), [3], [4], (3, 4), (3, 12), [3], [12], (3, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
5,normal,0.5808234315708405,0.5356687309175675,42,36,665,490.0,"[560, 530, 300, 530, 530, 540, 530, 290, 560, 530]","[665, 665, 665, 665, 665, 665, 665, 665, 665, 665]",0.9887777777777779,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(6, 14), [6], [14], (6, 14), (14, 17), [14], [17], (14, 17), (5, 6), [5], [6], (5, 6), (13, 14), [13], [14], (13, 14), (4, 5), [4], [5], (4, 5), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 17), [13], [17], (13, 17), (6, 14), [6], [14], (6, 14), (12, 13), [12], [13], (12, 13), (14, 17), [14], [17], (14, 17), (4, 14), [4], [14], (4, 14), (3, 4), [3], [4], (3, 4), (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (3, 12), [3], [12], (3, 12), (4, 5), [4], [5], (4, 5), (3, 4), [3], [4], (3, 4), (4, 12), [4], [12], (4, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,transition,0.5819572572960163,0.5345189122459906,48,37,635,443.0,"[510, 500, 305, 485, 510, 530, 260, 325, 505, 500]","[635, 635, 635, 635, 635, 635, 635, 635, 635, 635]",0.9887297297297297,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (4, 5), [4], [5], (4, 5), (12, 13), [12], [13], (12, 13), (12, 17), [12], [17], (12, 17), (3, 4), [3], [4], (3, 4), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (8, 12), [8], [12], (8, 12), (3, 4), [3], [4], (3, 4), (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (4, 13), [4], [13], (4, 13), (2, 3), [2], [3], (2, 3), (13, 17), [13], [17], (13, 17), (12, 17), [12], [17], (12, 17), (2, 12), [2], [12], (2, 12), (8, 12), [8], [12], (8, 12), (2, 8), [2], [8], (2, 8)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,normal,0.5914949712254791,0.541636591646161,48,37,590,398.0,"[465, 455, 260, 440, 465, 440, 260, 280, 460, 455]","[590, 590, 590, 590, 590, 590, 590, 590, 590, 590]",0.9886486486486487,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (4, 5), [4], [5], (4, 5), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (3, 4), [3], [4], (3, 4), (8, 11), [8], [11], (8, 11), (4, 13), [4], [13], (4, 13), (2, 3), [2], [3], (2, 3), (13, 17), [13], [17], (13, 17), (12, 17), [12], [17], (12, 17), (2, 12), [2], [12], (2, 12), (8, 12), [8], [12], (8, 12), (2, 8), [2], [8], (2, 8)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
8,transition,0.6290248059863628,0.5789529101814628,36,33,515,361.0,"[380, 390, 380, 380, 380, 390, 380, 140, 410, 380]","[515, 515, 515, 515, 515, 515, 515, 515, 515, 515]",0.9885151515151516,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (4, 5), [4], [5], (4, 5), (14, 17), [14], [17], (14, 17), (0, 4), [0], [4], (0, 4), (6, 14), [6], [14], (6, 14), (0, 5), [0], [5], (0, 5), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (14, 17), [14], [17], (14, 17), (5, 6), [5], [6], (5, 6), (0, 3), [0], [3], (0, 3), (6, 14), [6], [14], (6, 14), (12, 17), [12], [17], (12, 17), (13, 14), [13], [14], (13, 14), (3, 13), [3], [13], (3, 13), (12, 13), [12], [13], (12, 13), (3, 12), [3], [12], (3, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
8,normal,0.6290248059863628,0.5789529101814628,36,33,515,361.0,"[380, 390, 380, 380, 380, 390, 380, 140, 410, 380]","[515, 515, 515, 515, 515, 515, 515, 515, 515, 515]",0.9885151515151516,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (4, 5), [4], [5], (4, 5), (14, 17), [14], [17], (14, 17), (0, 4), [0], [4], (0, 4), (6, 14), [6], [14], (6, 14), (0, 5), [0], [5], (0, 5), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (14, 17), [14], [17], (14, 17), (5, 6), [5], [6], (5, 6), (0, 3), [0], [3], (0, 3), (6, 14), [6], [14], (6, 14), (12, 17), [12], [17], (12, 17), (13, 14), [13], [14], (13, 14), (3, 13), [3], [13], (3, 13), (12, 13), [12], [13], (12, 13), (3, 12), [3], [12], (3, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,transition,0.567289914677352,0.5054714292035759,54,40,635,422.0,"[505, 485, 305, 325, 305, 485, 350, 500, 510, 450]","[635, 635, 635, 635, 635, 635, 635, 635, 635, 635]",0.9881499999999999,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 5), [4], [5], (4, 5), (3, 4), [3], [4], (3, 4), (5, 6), [5], [6], (5, 6), (6, 7), [6], [7], (6, 7), (4, 13), [4], [13], (4, 13), [0], [5], (0, 5), [0], [5], (0, 5), [0], [5], (0, 5), [0], [5], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (6, 9), [6], [9], (6, 9), (4, 13), [4], [13], (4, 13), (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (4, 5), [4], [5], (4, 5), (13, 14), [13], [14], (13, 14), (5, 6), [5], [6], (5, 6), (6, 9), [6], [9], (6, 9), (9, 14), [9], [14], (9, 14), (9, 15), [9], [15], (9, 15), (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,normal,0.5313080988401115,0.4980032357643181,54,42,770,553.0,"[645, 665, 395, 645, 635, 440, 665, 335, 485, 620]","[770, 770, 770, 770, 770, 770, 770, 770, 770, 770]",0.9894761904761905,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(9, 14), [9], [14], (9, 14), (9, 15), [9], [15], (9, 15), (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (6, 9), [6], [9], (6, 9), (4, 13), [4], [13], (4, 13), (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (13, 14), [13], [14], (13, 14), (6, 9), [6], [9], (6, 9), (12, 13), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (4, 13), [4], [13], (4, 13), (9, 14), [9], [14], (9, 14), (5, 6), [5], [6], (5, 6), (0, 4), [0], [4], (0, 4), (13, 14), [13], [14], (13, 14), (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (4, 13), [4], [13], (4, 13), (4, 5), [4], [5], (4, 5), (0, 4), [0], [4], (0, 4), (0, 5), [0], [5], (0, 5)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
